,pl_name,pl_orbper,pl_rade,pl_ratror,pl_rprs2,pl_ratdor,sy_kmag,pl_Teq,pl_Trock,ed_1.4_Trock,ed_1.4_Teq,delta_Na,efficiency_kmag,noise,ESM,TSM,disc_facility
991,Kepler-1226 b,17.29250624,2.457,0.015975533291128788,0.0002552176639359642,,12.645,956.9,1222.8,0.3,0.0,,1.0,289.7075615255044,0.23586737988654072,,Kepler
992,Kepler-1227 b,94.28933423,2.169,0.02138188178998178,0.0004571848688807544,,12.507,397.5,508.0,0.0,0.0,,1.0,271.8690882109771,0.0325913211283527,,Kepler
993,Kepler-1228 b,0.57736917,1.456,0.018285541910089572,0.0003343610429456422,,12.799,1757.9,2246.3,24.7,6.9,,1.0,310.99960016211264,1.1121725592525542,,Kepler
994,Kepler-1229 b,86.82901038,2.064,0.03319740662566291,0.0011020678066696076,134.6,12.374,236.1,301.7,0.0,0.0,,1.0,255.7171353697752,0.006501074707607177,,Kepler
995,Kepler-123 b,17.23241934,3.124,0.021534198151696618,0.00046372169003653404,21.82330827067669,12.655,954.2,1219.4,0.4,0.0,294250.75893157924,1.0,291.0447908715713,0.3967125598954349,0.9641944259918178,Kepler
996,Kepler-123 c,26.69554763,1.572,0.010836030568011232,0.00011741955847087382,29.2593984962406,12.655,824.6,1053.7,0.0,0.0,,1.0,291.0447908715713,0.07192156224543515,,Kepler
997,Kepler-1230 b,9.95679965,3.069,0.025813073097784158,0.0006663147427515482,,13.915,979.2,1251.3,0.9,0.1,,1.0,519.9479026174756,0.3708041363631939,,Kepler
998,Kepler-1231 b,10.41736773,1.529,0.012743364956159263,0.00016239335040586797,,13.175,915.3,1169.7,0.1,0.0,,1.0,369.7939747372541,0.11596816402318914,,Kepler
999,Kepler-1232 b,26.78397026,1.462,0.016754316156389247,0.00028070710986824573,,12.965,543.4,694.4,0.0,0.0,,1.0,335.7065622026725,0.0571830786711508,,Kepler
1000,Kepler-1233 b,45.12575657,2.26,0.018016893838548598,0.0003246084635895304,,13.258,650.9,831.8,0.0,0.0,,1.0,384.2021852314788,0.08426853633691907,,Kepler
1001,Kepler-1234 b,11.94011823,1.959,0.020883597079735656,0.0004361246269887436,,13.797,699.7,894.1,0.0,0.0,,1.0,492.4473794204784,0.14402590090699918,,Kepler
1002,Kepler-1235 b,4.16055,0.807,0.007549475495243376,5.6994580253280215e-05,,12.199,1122.0,1433.8,0.3,0.0,,1.0,235.9173225260212,0.10327888934686388,,Kepler
1003,Kepler-1236 b,31.05772543,1.91,0.022165401207780887,0.0004913050107018944,,14.018,533.6,681.8,0.0,0.0,,1.0,545.2050008021163,0.05839369697723751,,Kepler
1004,Kepler-1237 b,84.57325092,2.518,0.024558237379158906,0.0006031070231711177,,13.851,394.1,503.7,0.0,0.0,,1.0,504.84705907640534,0.024055698406585287,,Kepler
1005,Kepler-1238 b,4.14787559,2.248,0.012490553486569014,0.00015601392640084136,,13.259,1634.6,2088.8,5.0,1.3,,1.0,384.37915762263225,0.2865168292534244,,Kepler
1006,Kepler-1239 b,5.1911006,2.9,0.016513587905117234,0.0002726985855000342,,14.354,,,,,,1.0,636.4434637752736,,,Kepler
1007,Kepler-124 b,3.41045424,1.228,0.014813377665811792,0.00021943615786997162,11.032894736842104,12.233,1043.9,1334.0,0.7,0.1,,1.0,239.64028679734253,0.3683800798316755,,Kepler
1008,Kepler-124 c,13.8214023,2.552,0.032495071311069594,0.001055929659511498,29.86111111111111,12.233,654.5,836.4,0.0,0.0,,1.0,239.64028679734253,0.5423645844850672,,Kepler
